"id","name","about"
"365838900453228","India Virtual Hospital",
"147384458624178","The Times and The Sunday Times","Welcome to The Times and The Sunday Times' Facebook page.\n\nJoin our group dedicated to the discussion of the UK leaving the EU and our place in Europe here: www.facebook.com/groups/fiftytwofortyeight"
"769436116488194","Just Sul"," Instagram: @JustSul\n Vine : Just Sul\n Twitter : @MisterSul\n Snapchat: JustSul\n YouTube: /JustSulOfficial\n E-mail: itsjustsul@gmail.com"
"1616538528363642","Diversion","GOAL- 60K LIKES /*\n\n""Divert your mind to the next Level,\nNot just sarcastic, 'Get @Diversioned!"""
"1292532064197914","HumourTube","Spreading positivity one post at a time.\n"
"1159346367512575","Republic",
"281796902163018","MYogiAdityanath","Mahant Yogi Adityanath"
"612293438881219","Facebook IQ","Real Life. Real Insight. Real Action."
"434174436675167","Apple",
"739675499465184","Indian Student Association UMN","ISA-UMN was founded as Indo-Am as a way to provide professional and social support for students on campus. "
"6867084435","Earth Hour","Join us for Earth Hour 2018 on 24 March 8:30 p.m. https://www.earthhour.org"
"673040649502989","Gaur Gopal Das","Official Page of Gaur Gopal das. A personal coach, monk, lifestyle & motivational strategist, sharing deeper spiritual insights with the world."
"1362325460461737","Is This Paranormal","We post paranormal stories from around the world. It's up to you to decide... Is This Paranormal?"
"166356006498","Simon Sinek","Every single day is an opportunity to inspire someone. Here are ideas, tools & resources that can help. For more inspiration visit: startwithwhy.com."
"1013375025430995","Health, Relationship and Sex Facts",
"386651248376494","Jahnavi Ray-Verma For Mrs South Asia Canada 2017","Don't be a woman with just a pretty face.\nBe the kind young girls can look up to!"
"169041429778032","Friends in Film","The fastest way to make your dreams happen at http://www.friendsinfilm.com"
"369734393115801","India Against Stupidity","We are Indians against all kinds of stupidity, by the people, by the Government, even by us."
"764909606886582","The Sarcastic Indian","I'm the one Pappu's Mom keeps talking about. The one who'll never share his samosa. The one who'll bargain even on discount.\n\nI'm The Sarcastic Indian.\n"
"364422757097773","vonvon","Your daily dose of fun! Escape the day with our quizzes and games."
"173770089577","Laughing Colours","Social news and entertainment\n"
"1575720699399650","Crush Some Goals","Are you looking to LEVEL UP in life?  Click ""LIKE"" to join a powerful community of committed individuals ready to take their lives to the NEXT LEVEL!"
"313448422042852","Bakchodi Mat Kar Yaar!","Bakchodi or Bullshit, is truly an art. Trust me, if you master it; you can become a superstar or even aspire to win a nobel prize."
"552465834896037","BB Ki Vines","Official Page of BB Ki Vines.\nFor enquiries: bhuvanbam@gmail.com\nbbkivines@gmail.com"
"352364611609411","Futurism","Covering the latest scientific breakthroughs and technological innovations"
"115506225195098","Anjali couture","designer brand "
"644707652230946","Rahul Dravid",
"1632801196965810","The Dead Poets Society","The page is dedicated to all those people who love literature and arts...This is a platform of creativity and emotions."
"175735812546513","Billions of Books","books are a good way for education. go to a Barns and Noble by you! you can even get them on any apple product or even a kindle!\n\n\nBY Sophie and Sofia"
"1436409366602236","Legendary Moments","share ur legendary moments with us..."
"331676586941805","Arey aaj to aap joke maarna hi bhul gaye",
"427872447300946","Investment Ideas for NRI and Resident Indians",
"1379825452292470","NID Trolls","Trolls on times frm a decade at NID! ;)\nLight humour | Expressions | Life@campus | A decade in fun\nPost all that u feel. Just let it be in good humour :)"
"363345954034102","Business Quotes By Famous People","Business Quotes By Famous People\n\nThis is for business owners or inspiring business owners who want to live their dreams!"
"860432327339062","Tafri Studio","\nFollow us on twitter \nLike us on Facebook �\nTo entertain is our responsibility:) \nSend us messages "
"9269711759","Arnold Schwarzenegger","Former Mr. Olympia, Conan, Terminator, and Governor of California. I killed the Predator. I told you I'd be back."
"243362695854391","Jokes Corner",
"1540427569534817","Motivation And Inspiration",
"1633466236940064","Facebook Careers","Founded in 2004, Facebook’s mission is to give people the power to share and make the world more open and connected. "
"626819120831520","Pun Intended.","Its a Punny World......We are the punniest of all...Like our Page For Puns , puns , and more puns....."
"555765784461423","8Gaming","Business: 8gamingbusiness@gmail.com"
"9124187907","U.S. Senator Bernie Sanders","Sen. Bernie Sanders of Vermont is the longest serving independent in U.S. congressional history."
"153080620724","Donald J. Trump","This is the official Facebook page for Donald J. Trump"
"21751825648","Justin Trudeau","Online Community Guidelines: lpc.ca/a17v. \n\nLignes directrices pour la communauté virtuelle: lpc.ca/a17w.\n"
"1653391328305821","Salman Ahmad Offical","Santosh ye page like karne ka hai ignore kiya to......  :p"
"1191441824276882","The White House","Welcome to the official White House Facebook page for the Trump Administration.\n\nComments posted on and messages received through White House pages are subject to the Presidential Records Act and may be archived. Learn more at WhiteHouse.gov/privacy."
"266140300077502","Just Hyderabadi Things","This page is dedicated to the people of Hyderabad. ♡\nFor advertisements/promotions, inbox us (or) mail us to admin@justhyderabadithings.in"
"11305051470","EY Careers","We have an ambition to build a #betterworkingworld. And the question is: Will it begin with you?"
"2034055736820884","Money Mint Mantras","We are your partners in your Wealth Creation Journey"
"520518051485979","Fatima Sana Shaikh","Fatima Sana Shaikh is an Indian actress, dancer and photographer. She mainly appears in Bollywood movies and television serials."
"85804120293","Juniper Networks","From devices to data centers, from consumers to cloud providers, Juniper Networks transforms the experience of networking."
"960411260685194","Sundar Pichai CEO","Google New CEO Sundar Pichai Facebook Page. Fan page of Sundar Pichai."
"619111564766296","Pshycological FACTS","Psycho is a slang term for someone who is mentally unstable or afflicted with a psychosis. "
"1597199253842438","GEETA - the Knowledge","Geeta is Presented by Lord Krishna to Arjuna to Explain Law of Karma & Living Style in any Era."
"288920661154402","Sherlock Holmes Quotes","Sherlock Holmes is a fictional detective created by Scottish author and physician Sir Arthur Conan Doyle. http://www.twitter.com/Holmes_Quotes"
"147634822092674","SJSU Computer and Software Engineering","Updates and alerts related to CMPE and SE at SJSU"
"604927006339788","Jack Ma","Official Fan Page of Jack Ma"
"429988053738805","How I Met Your Mother Quotes","Just a page for HIMYM Fans! Lots of quotes, pictures and discussions! Like and Share!"
"1787085334859227","Gamiss","We have everything you want or need to get fashion forward."
"234161853590068","Oye BC","We are Funny (At Least We Think So), We are Cheerful.\nWe are Offensive, We are Cool.\n\nBe the Part of Our Family.  \n\nBut Please, Be Careful, BC !!"
"611984132154403","Frenchy","NEW VID EVERY WEEK!\nYouTube: www.youtube.com/sungaattack\nInstagram & Twitter: @SungaAttack\nSnapChat: SungaAttack\nBUSINESS EMAIL: sungaattack@gmail.com"
"146505212039213","UNILAD","Snapchat - uniladsnap\nInstagram - UNILAD\nTwitter - UNILAD"
"189882407605","22 Words","A blend of everything from the serious & creative to the silly & absurd. Funny & fascinating viral content as well as more obscure pics, videos, & more. "
"1614251518827491","Tasty","Food that'll make you close your eyes, lean back, and whisper ""yessss."" Snack-sized videos and recipes you'll want to try."
"585058068335901","DocBox","The best app for doctors to manage, diagnose and review their patients. Manage helpers and online appointments, share records, prescriptions and much more."
"473268699486950","Mad Mughal Memes","Humour and History"
"687913497974311","Christian Delgrosso","That guy from Vine. contactchristiand@gmail.com"
"894384070601118","Bharat UMN","Bharat is a University of Minnesota Indian student group. We are a group of students dedicated to enriching the UMN campus with India's wonderful culture!"
"341163402640457","NowThis","All the videos you need to stay on the news."
"1757390934493604","The Funny Lad","""Simply the best humour page ever!"" - A TFL fan.The only facebook page dedicated to providing only CLEAN HUMOR."
"1028921237141195","Capable Men","A men's lifestyle and self-improvement website empowering your life with knowledge, tools and indispensable skill-sets for your adventures here on Earth."
"1714993022089772","It Matters","Sadly, a lot of what is considered news today is designed to blindfold the masses rather than open their eyes. Join us only for what - truly matters!"
"384779331602337","Ecology Club","The TMECHS Ecology club, where those who care for the earth come to share their ideas."
"96036691567","Student Unions & Activities - University of Minnesota","Encouraging University of Minnesota students to get involved, engage in campus events, join student groups, and more."
"63811549237","The Obama White House","This is an archive of an Obama Administration account maintained by the National Archives and Records Administration (NARA). For more information please visit https://obamalibrary.gov/socialmediaarchive#socialmedia."
"20781959145","Sadhguru","Welcome to the Official Facebook page of Sadhguru. This page is updated & managed  by Isha Foundation. For more information, please visit isha.sadhguru.org Receive Sadhguru’s daily quote, learn Upa-Yoga and chant, all from your mobile (app.sadhguru.org)"
"186126338447981","Concord USA","Concord is a data consulting firm driving business value through the use of technology."
"156111654840720","UMN Student Jobs & Internships","This page is dedicated to informing University of Minnesota students about appealing jobs or internships"
"311072195718946","WayUp","The go-to platform for college students and recent grads to get hired."
"352751268256569","Tech Insider","Tech. Science. Culture. Innovation."
"792517837455295","Ayushmann Khurrana","Actor Anchor Crooner Donor Poser Composer Blogger Jogger Hogger\n\nTwitter: www.twitter.com/ayushmannk\nInstagram: www.instagram.com/ayushmannk"
"1515871602074952","Sarcasm","Welcome to official Facebook page of Sarcasm, part of Digihood Media Private Limited."
"130180200348467","HINDUSTAN MOTORCYCLING COMPANY","HMC is a premier adventure company that provides end-to-end solution to your wanderlust. With a variety of programs, departure dates, trip-styles, and activities, to suit your taste, age, moods, and yes, pockets too."
